WARD,WARDn,PFN,PFNn,LAD,LADn
S13002873,Arbroath East and Lunan,S32000017_001,Angus,S12000041,Angus
S13002872,"Arbroath West, Letham and Friockheim",S32000017_001,Angus,S12000041,Angus
S13002868,Brechin and Edzell,S32000017_001,Angus,S12000041,Angus
S13002871,Carnoustie and District,S32000017_001,Angus,S12000041,Angus
S13002869,Forfar and District,S32000017_001,Angus,S12000041,Angus
S13002867,Kirriemuir and Dean,S32000017_001,Angus,S12000041,Angus
S13002870,Monifieth and Sidlaw,S32000017_001,Angus,S12000041,Angus
S13002874,Montrose and District,S32000017_001,Angus,S12000041,Angus
S13002548,Coldside,S32000017_002,Dundee,S12000042,Dundee City
S13002551,East End,S32000017_002,Dundee,S12000042,Dundee City
S13002546,Lochee,S32000017_002,Dundee,S12000042,Dundee City
S13002830,North East,S32000017_002,Dundee,S12000042,Dundee City
S13002545,Strathmartine,S32000017_002,Dundee,S12000042,Dundee City
S13002552,The Ferry,S32000017_002,Dundee,S12000042,Dundee City
S13002547,West End,S32000017_002,Dundee,S12000042,Dundee City
S13002549,Maryfield,S32000017_002,Dundee,S12000042,Dundee City
S13003071,Almond and Earn,S32000017_003,Perth and Kinross,S12000048,Perth and Kinross
S13003065,Blairgowrie and Glens,S32000017_003,Perth and Kinross,S12000048,Perth and Kinross
S13003063,Carse of Gowrie,S32000017_003,Perth and Kinross,S12000048,Perth and Kinross
S13003066,Highland,S32000017_003,Perth and Kinross,S12000048,Perth and Kinross
S13003132,Kinross-shire,S32000017_003,Perth and Kinross,S12000048,Perth and Kinross
S13003074,Perth City Centre,S32000017_003,Perth and Kinross,S12000048,Perth and Kinross
S13003073,Perth City North,S32000017_003,Perth and Kinross,S12000048,Perth and Kinross
S13003072,Perth City South,S32000017_003,Perth and Kinross,S12000048,Perth and Kinross
S13003069,Strathallan,S32000017_003,Perth and Kinross,S12000048,Perth and Kinross
S13003068,Strathearn,S32000017_003,Perth and Kinross,S12000048,Perth and Kinross
S13003064,Strathmore,S32000017_003,Perth and Kinross,S12000048,Perth and Kinross
S13003067,Strathtay,S32000017_003,Perth and Kinross,S12000048,Perth and Kinross
S13002976,Anderston/City/Yorkhill,S32000018_001,Glasgow City Centre,S12000049,Glasgow City
S13002980,Drumchapel/Anniesland,S32000018_002,Glasgow North West,S12000049,Glasgow City
S13002979,Garscadden/Scotstounhill,S32000018_002,Glasgow North West,S12000049,Glasgow City
S13002977,Hillhead,S32000018_002,Glasgow North West,S12000049,Glasgow City
S13002989,Partick East/Kelvindale,S32000018_002,Glasgow North West,S12000049,Glasgow City
S13002978,Victoria Park,S32000018_002,Glasgow North West,S12000049,Glasgow City
S13002988,Dennistoun,S32000018_003,Glasgow East,S12000049,Glasgow City
S13002975,Calton,S32000018_003,Glasgow East,S12000049,Glasgow City
S13002984,East Centre,S32000018_003,Glasgow East,S12000049,Glasgow City
S13002982,Canal,S32000018_004,Glasgow North,S12000049,Glasgow City
S13002981,Maryhill,S32000018_004,Glasgow North,S12000049,Glasgow City
S13002983,Springburn/Robroyston,S32000018_004,Glasgow North,S12000049,Glasgow City
